ID	A1	A4	A7	A8	A9	A11	A12	A14	A16	A17	A22
__id__1-syndicate	=MAX(N2,O2)	0	0	1	0	0	=MAX(P2,Q2)	0	0	0.5	0
__id__2-syndicate	=MAX(N3,O3)	0	0	0.5	0	0	=MAX(P3,Q3)	1	0	0	0
__id__3-syndicate	=MAX(N4,O4)	0	0	1	0	0	=MAX(P4,Q4)	0	0	0	0
__id__4-syndicate	=MAX(N5,O5)	0	0	0.5	0	0	=MAX(P5,Q5)	0	0	0	0
__id__5-syndicate	=MAX(N6,O6)	0	0	1	0	0	=MAX(P6,Q6)	0	0	0	0
__id__6-syndicate	=MAX(N7,O7)	0	0	0.5	0	0	=MAX(P7,Q7)	1	0	0.5	0
__id__7-syndicate	=MAX(N8,O8)	0	0	1	0	0	=MAX(P8,Q8)	0	0	0	0
__id__8-syndicate	=MAX(N9,O9)	0	0	1	0	0	=MAX(P9,Q9)	0	0	0	0
__id__9-syndicate	=MAX(N10,O10)	0	0.5	0.5	0	0	=MAX(P10,Q10)	0	0	0	0
__id__10-syndicate	=MAX(N11,O11)	0	0.5	0.5	0	0	=MAX(P11,Q11)	0	0	0	0
__id__11-syndicate	=MAX(N12,O12)	0	0.5	0.5	0	0	=MAX(P12,Q12)	0	0	0	0
__id__12-syndicate	=MAX(N13,O13)	0	0.5	1	0	0	=MAX(P13,Q13)	0	0	0	0
__id__13-syndicate	=MAX(N14,O14)	0	0	0	0	0	=MAX(P14,Q14)	0	0	0	0
__id__14-syndicate	=MAX(N15,O15)	0	0	1	0	0	=MAX(P15,Q15)	0	0	0	0
__id__15-syndicate	=MAX(N16,O16)	0	0	1	0	0.5	=MAX(P16,Q16)	0	0.5	0	0
__id__16-syndicate	=MAX(N17,O17)	0	0	1	0	0	=MAX(P17,Q17)	0	0	0	0
__id__17-syndicate	=MAX(N18,O18)	0	0	1	0	0	=MAX(P18,Q18)	0	0	0	0
__id__18-syndicate	=MAX(N19,O19)	0	0	1	0	0	=MAX(P19,Q19)	0	0	0	0
__id__19-syndicate	=MAX(N20,O20)	0	0	1	0	0.5	=MAX(P20,Q20)	0	0	0	0
__id__20-syndicate	=MAX(N21,O21)	0	0	1	0	0	=MAX(P21,Q21)	0	1	0	0
__id__21-syndicate	=MAX(N22,O22)	0	0	1	0	0	=MAX(P22,Q22)	0	0	0	0
__id__22-syndicate	=MAX(N23,O23)	0	0	1	0	0.5	=MAX(P23,Q23)	0	0	0	0
__id__23-syndicate	=MAX(N24,O24)	0	0	0	0	0.5	=MAX(P24,Q24)	0	0	0	0
__id__24-syndicate	=MAX(N25,O25)	0	0	1	0	0	=MAX(P25,Q25)	1	0	0	0
__id__25-syndicate	=MAX(N26,O26)	0	0	1	0	0	=MAX(P26,Q26)	0	0	0	0
__id__26-syndicate	=MAX(N27,O27)	0	0	1	0	0	=MAX(P27,Q27)	0	0	0	0
__id__27-syndicate	=MAX(N28,O28)	0	0	1	0	0	=MAX(P28,Q28)	0	0	0	0
__id__28-Bib1Amos_Prophecy_12_EN.txt	=MAX(N29,O29)	2	0	0	0.5	1	=MAX(P29,Q29)	0	0	0	0
__id__29-Bib1Amos_Prophecy_89_EN.txt	=MAX(N30,O30)	2	0	0	0.5	0	=MAX(P30,Q30)	0	0	0	0
__id__30-Bib1Ezra_History_12_EN.txt	=MAX(N31,O31)	2	0	0	0	0	=MAX(P31,Q31)	0	1	0	0
__id__31-Bib1Joel_Prophecy_12_EN.txt	=MAX(N32,O32)	2	0	0	0	1	=MAX(P32,Q32)	0	0	0	0
__id__32-Bib1Ruth_History_12_EN.txt	=MAX(N33,O33)	2	0	0	0	0	=MAX(P33,Q33)	0	0	0	0
__id__33-Bib2John_Gospel_12_EN.txt	=MAX(N34,O34)	2	0	0	0	0	=MAX(P34,Q34)	0	0	0	0
__id__34-Bib2Jude_Epistle_1_EN.txt	=MAX(N35,O35)	0.5	0	0	0	1	=MAX(P35,Q35)	0	0	0	0
__id__35-Bib2Luke_Acts_12_EN.txt	=MAX(N36,O36)	2	0	0	0	1	=MAX(P36,Q36)	0	0	0	0
__id__36-Bib2Luke_Acts_2728_EN.txt	=MAX(N37,O37)	2	0	0	0	0.5	=MAX(P37,Q37)	0	0	0	0
__id__37-Bib2Luke_Gospel_12_EN.txt	=MAX(N38,O38)	2	0	0	0	0.5	=MAX(P38,Q38)	0	0	0	0
__id__38-Bib2Mark_Gospel_12_EN.txt	=MAX(N39,O39)	2	0	0	0	0.5	=MAX(P39,Q39)	0	0	0	0
__id__39-CorpApple_Environment_EN.txt	=MAX(N40,O40)	0	1	0	0.5	0	=MAX(P40,Q40)	1	0	0	0
__id__40-CorpHandM_Quality_EN.txt	=MAX(N41,O41)	0	2	0	0.5	0	=MAX(P41,Q41)	0	0	0	0
__id__41-CorpHandM_Responsibility_EN.txt	=MAX(N42,O42)	0	0	0	1	0	=MAX(P42,Q42)	0	0	0	0
__id__42-CorpHP_Objectives_EN.txt	=MAX(N43,O43)	0	0	0	0.5	0	=MAX(P43,Q43)	0	0	0	0
__id__43-CorpJaguar_Sustainability_EN.txt	=MAX(N44,O44)	0	0	0	1	0	=MAX(P44,Q44)	0	0	0	0
__id__44-CorpZara_Environment_EN.txt	=MAX(N45,O45)	0	1	0	0.5	0	=MAX(P45,Q45)	0	1	0	0
__id__45-FictAndersenH_Mermaid_EN.txt	=MAX(N46,O46)	2	0	0	0	0	=MAX(P46,Q46)	0	0	0	0
__id__46-FictAndersenH_Ugly_EN.txt	=MAX(N47,O47)	2	0	0	0	0	=MAX(P47,Q47)	0	0	0	0
__id__47-FictBalzacH_Goriot_Ia_EN.txt	=MAX(N48,O48)	2	0	0	0	0	=MAX(P48,Q48)	0	0	0	0
__id__48-FictBalzacH_Goriot_Ib_EN.txt	=MAX(N49,O49)	2	0	0	0	0	=MAX(P49,Q49)	0	0	0	0
__id__49-FictBronteC_JaneEyre_33_EN.txt	=MAX(N50,O50)	2	0	0	0	0	=MAX(P50,Q50)	0	0	0	0
__id__50-FictBronteC_JaneEyre_6_EN.txt	=MAX(N51,O51)	2	0	0	0	0	=MAX(P51,Q51)	0	0	0	0
__id__51-FictCarrollL_Wonderland_2_EN.txt	=MAX(N52,O52)	2	0	0	0	0	=MAX(P52,Q52)	0	0	0	0
__id__52-FictCarrollL_Wonderland_5_EN.txt	=MAX(N53,O53)	2	0	0	0	0	=MAX(P53,Q53)	0	0	0	0
__id__53-FictDostoyevskyF_CrimePun_ep_EN.txt	=MAX(N54,O54)	2	0	0	0	0	=MAX(P54,Q54)	0	0	0	0
__id__54-FictDostoyevskyF_CrimePun_II2_EN.txt	=MAX(N55,O55)	2	0	0	0	0	=MAX(P55,Q55)	0	0	0	0
__id__55-FictDumasAp_3Musk_11_EN.txt	=MAX(N56,O56)	2	0	0	0	0	=MAX(P56,Q56)	0	0	0	0
__id__56-FictDumasAp_3Musk_2_EN.txt	=MAX(N57,O57)	2	0	0	0	0	=MAX(P57,Q57)	0	0	0	0
__id__57-FictFlaubertG_Bovary_I5_EN.txt	=MAX(N58,O58)	2	0	0	0	0	=MAX(P58,Q58)	0	0	0	0
__id__58-FictFlaubertG_Bovary_III3_EN.txt	=MAX(N59,O59)	2	0	0	0	0	=MAX(P59,Q59)	0	0	0	0
__id__59-FictFlaubertG_Salammbo_11_EN.txt	=MAX(N60,O60)	2	0	0	0	0	=MAX(P60,Q60)	0	0	0	0
__id__60-FictFlaubertG_Salammbo_2_EN.txt	=MAX(N61,O61)	2	0	0	0	0.5	=MAX(P61,Q61)	0	0	0	0
__id__61-FictGrimmJ_Bremusicians_EN.txt	=MAX(N62,O62)	2	0	0	0	0	=MAX(P62,Q62)	0	0	0	0
__id__62-FictGrimmJ_HanselGretel_EN.txt	=MAX(N63,O63)	2	0	0	0	0	=MAX(P63,Q63)	0	0	0	0
__id__63-FictHugoV_Hunchback_II5_EN.txt	=MAX(N64,O64)	2	0	0	0	0	=MAX(P64,Q64)	0	0	0	0
__id__64-FictHugoV_Hunchback_IV3_EN.txt	=MAX(N65,O65)	2	0	0	0	0	=MAX(P65,Q65)	0	0	0	0
__id__65-FictPoeE_Purloined_EN.txt	=MAX(N66,O66)	2	0	0	0	1	=MAX(P66,Q66)	0	0	0	0
__id__66-FictPoeE_Usher_EN.txt	=MAX(N67,O67)	2	0	0	0	1	=MAX(P67,Q67)	0	0	0	0
__id__67-FictTolstoyL_AnnaK_I10_EN.txt	=MAX(N68,O68)	2	0	0	0	0.5	=MAX(P68,Q68)	0	0	0	0
__id__68-FictTolstoyL_AnnaK_I11_EN.txt	=MAX(N69,O69)	2	0	0	0	0.5	=MAX(P69,Q69)	0	0	0	0
__id__69-FictTolstoyL_WarPeace_I16_EN.txt	=MAX(N70,O70)	2	0	0	0	0.5	=MAX(P70,Q70)	0	0	0	0
__id__70-FictTolstoyL_WarPeace_I2_EN.txt	=MAX(N71,O71)	2	0	0	0	0.5	=MAX(P71,Q71)	0	0	0	0
__id__71-FictWildeO_Dorian_18_EN.txt	=MAX(N72,O72)	2	0	0	0	0	=MAX(P72,Q72)	0	0	0	0
__id__72-FictWildeO_Dorian_8_EN.txt	=MAX(N73,O73)	2	0	0	0	0.5	=MAX(P73,Q73)	0	0	0	0
__id__73-FictZolaE_Germinal_II4_EN.txt	=MAX(N74,O74)	2	0	0	0	0.5	=MAX(P74,Q74)	0	0	0	0
__id__74-FictZolaE_Germinal_VII2_EN.txt	=MAX(N75,O75)	2	0	0	0	0.5	=MAX(P75,Q75)	0	0	0	0
__id__75-MarxMarxK_ComMan_01_EN.txt	=MAX(N76,O76)	0.5	0	0	0.5	0	=MAX(P76,Q76)	1	0	0	0
__id__76-MarxMarxK_ComMan_24_EN.txt	=MAX(N77,O77)	0	0.5	0	0.5	1	=MAX(P77,Q77)	1	0	0	0
__id__77-MarxMarxK_Feuerbach_EN.txt	=MAX(N78,O78)	0	0	0	0	0	=MAX(P78,Q78)	1	0	0	0
__id__78-MarxMarxK_GothaProg_EN.txt	=MAX(N79,O79)	0	0	0	0	0	=MAX(P79,Q79)	1	0	0	0
__id__79-MarxMarxK_JewishQ_EN.txt	=MAX(N80,O80)	0.5	0	0	0	0	=MAX(P80,Q80)	0	0	0	0
__id__80-NewsEnnajiM_Maghreb_EN.txt	=MAX(N81,O81)	0	0	2	0	0	=MAX(P81,Q81)	0	0	0	0
__id__81-NewsGoalcom_MessiTop50_EN.txt	=MAX(N82,O82)	0	0	2	0	0.5	=MAX(P82,Q82)	0	0	0	0
__id__82-NewsGueyeA_BlackPete_EN.txt	=MAX(N83,O83)	0	0	0	0	0.5	=MAX(P83,Q83)	0	0.5	0	0
__id__83-NewsLeM_OrbanGoldmanSachs_EN.txt	=MAX(N84,O84)	0	0	2	0	1	=MAX(P84,Q84)	0	0	0	0
__id__84-NewsMendesFrancoJ_HaitiBeyondCapital_EN.txt	=MAX(N85,O85)	0	0	2	0	1	=MAX(P85,Q85)	0	0	0	0
__id__85-NewsMillerH_FrankensteinTradition_EN.txt	=MAX(N86,O86)	0	0	0	0	0	=MAX(P86,Q86)	1	2	0	0
__id__86-NewsRabinovichI_IranNuclear_EN.txt	=MAX(N87,O87)	0	0	2	0	0	=MAX(P87,Q87)	0	0	0	0
__id__87-NewsRian_IranCutsOil_EN.txt	=MAX(N88,O88)	0	0	2	0	0	=MAX(P88,Q88)	0	0	0	0
__id__88-NewsRian_MedvedevDismisses_EN.txt	=MAX(N89,O89)	0	0	2	0	0.5	=MAX(P89,Q89)	0	0	0	0
__id__89-NewsWiki_KaradzicArrest_EN.txt	=MAX(N90,O90)	0	0	2	0	0	=MAX(P90,Q90)	0	0	0	0
__id__90-OpacStallman_FreeSoft_EN.txt	=MAX(N91,O91)	0	0.5	0.5	0.5	0.5	=MAX(P91,Q91)	0	1	0	0
__id__91-OpacTeam_Berlin_EN.txt	=MAX(N92,O92)	0	0	0	1	0	=MAX(P92,Q92)	0.5	0	0	0
__id__92-OpacTeam_Budapest_EN.txt	=MAX(N93,O93)	0	0.5	1	0	0	=MAX(P93,Q93)	0.5	0	0	0
__id__93-TediAndersonEt_NuclearEnergy_EN.txt	=MAX(N94,O94)	0	0	0	0	1	=MAX(P94,Q94)	1	0	0	0
__id__94-TediBelcherA_Batteries_EN.txt	=MAX(N95,O95)	0	0.5	0	0	2	=MAX(P95,Q95)	1	2	0	0
__id__95-TediGellMannM_Lang_EN.txt	=MAX(N96,O96)	0	0	0	0	0	=MAX(P96,Q96)	1	0	0	0
__id__96-TediJakubowskiM_OpenTech_EN.txt	=MAX(N97,O97)	0	0.5	0	0	2	=MAX(P97,Q97)	1	0	0	0
__id__97-TediJordanC_ShockStats_EN.txt	=MAX(N98,O98)	0	0	0	0	1	=MAX(P98,Q98)	0	0	0	0
__id__98-TediMcKeanE_Dict_EN.txt	=MAX(N99,O99)	0	0	0	0	2	=MAX(P99,Q99)	1	0	0	0
__id__99-TediMillerA_News_EN.txt	=MAX(N100,O100)	0	0	0.5	0	0	=MAX(P100,Q100)	0	0	0	0
__id__100-TediNatchweyJ_WarPhotos_EN.txt	=MAX(N101,O101)	0	0	0.5	0	2	=MAX(P101,Q101)	0	0	0	0
__id__101-TediOConnellA_Quantum_EN.txt	=MAX(N102,O102)	0	0	0	0	2	=MAX(P102,Q102)	0.5	1	0	0
__id__102-TediRoslingH_Poverty_EN.txt	=MAX(N103,O103)	0	0	0	0	0	=MAX(P103,Q103)	0	0	0	0
__id__103-TediSinclairC_OpenArchitech_EN.txt	=MAX(N104,O104)	0	0.5	0	0	2	=MAX(P104,Q104)	0	0	0	0
__id__104-TeleHTC_Manual_0_EN.txt	=MAX(N105,O105)	0	2	0	2	0	=MAX(P105,Q105)	0	0	0	0
__id__105-TeleHTC_Manual_10_EN.txt	=MAX(N106,O106)	0	2	0	0	0	=MAX(P106,Q106)	0	0	0	0
__id__106-TeleHTC_Manual_11_EN.txt	=MAX(N107,O107)	0	2	0	0	0	=MAX(P107,Q107)	0	0	0	0
__id__107-TeleHTC_Manual_12_EN.txt	=MAX(N108,O108)	0	2	0	0	0	=MAX(P108,Q108)	0	0	0	0
__id__108-TeleHTC_Manual_13_EN.txt	=MAX(N109,O109)	0	2	0	0	0	=MAX(P109,Q109)	0	0	0	0
__id__109-TeleHTC_Manual_1_EN.txt	=MAX(N110,O110)	0	2	0	0	0	=MAX(P110,Q110)	0	0.5	0	0
__id__110-TeleHTC_Manual_2_EN.txt	=MAX(N111,O111)	0	2	0	0	0	=MAX(P111,Q111)	0	0.5	0	0
__id__111-TeleHTC_Manual_3_EN.txt	=MAX(N112,O112)	0	2	0	0	0	=MAX(P112,Q112)	0	0	0	0
__id__112-TeleHTC_Manual_4_EN.txt	=MAX(N113,O113)	0	2	0	0	0	=MAX(P113,Q113)	0	0	0	0
__id__113-TeleHTC_Manual_5_EN.txt	=MAX(N114,O114)	0	2	0	0	0	=MAX(P114,Q114)	0	0	0	0
__id__114-TeleHTC_Manual_6_EN.txt	=MAX(N115,O115)	0	2	0	0	0	=MAX(P115,Q115)	0	0	0	0
__id__115-TeleHTC_Manual_7_EN.txt	=MAX(N116,O116)	0	2	0	0	0	=MAX(P116,Q116)	0	0	0	0
__id__116-TeleHTC_Manual_8_EN.txt	=MAX(N117,O117)	0	2	0	0	0	=MAX(P117,Q117)	0	0	0	0
__id__117-TeleHTC_Manual_9_EN.txt	=MAX(N118,O118)	0	2	0	0	0	=MAX(P118,Q118)	0	0	0	0
__id__118-TeliApple_iPhone4_EN.txt	=MAX(N119,O119)	0	2	0	1	0	=MAX(P119,Q119)	0	0	0	0
__id__119-TelsGoog_Answer_0545_EN.txt	=MAX(N120,O120)	0	2	0	0	0.5	=MAX(P120,Q120)	0	1	0	0
__id__120-TelsGoog_Answer_0a46_EN.txt	=MAX(N121,O121)	0	2	0	0	0	=MAX(P121,Q121)	0	0	0	0
__id__121-TelsGoog_Answer_0bcf_EN.txt	=MAX(N122,O122)	0	2	0	0.5	0	=MAX(P122,Q122)	0	0	0	0
__id__122-TelsGoog_Answer_1851_EN.txt	=MAX(N123,O123)	0	2	0	0	0	=MAX(P123,Q123)	0	0	0	0
__id__123-TelsGoog_Answer_1b37_EN.txt	=MAX(N124,O124)	0	2	0	0	0	=MAX(P124,Q124)	0	0.5	0	0
__id__124-TelsGoog_Answer_2feb_EN.txt	=MAX(N125,O125)	0	2	0	0	0	=MAX(P125,Q125)	0	1	0	0
__id__125-TelsGoog_Answer_3024_EN.txt	=MAX(N126,O126)	0	2	0	0	0	=MAX(P126,Q126)	0	0	0	0
__id__126-TelsGoog_Answer_4b5b_EN.txt	=MAX(N127,O127)	0	2	0	0	0	=MAX(P127,Q127)	0	0	0	0
__id__127-TelsGoog_Answer_596f_EN.txt	=MAX(N128,O128)	0	2	0	0	0	=MAX(P128,Q128)	0	0.5	0	0
__id__128-TelsGoog_Answer_5b4c_EN.txt	=MAX(N129,O129)	0	2	0	0	0	=MAX(P129,Q129)	0	1	0	0
__id__129-TelsGoog_Answer_70d7_EN.txt	=MAX(N130,O130)	0	2	0	0	0	=MAX(P130,Q130)	0	0	0	0
__id__130-TelsGoog_Answer_770f_EN.txt	=MAX(N131,O131)	0	2	0	0	0	=MAX(P131,Q131)	0	0	0	0
__id__131-TelsGoog_Answer_91e4_EN.txt	=MAX(N132,O132)	0	2	0	0	0	=MAX(P132,Q132)	0	0	0	0
__id__132-TelsGoog_Answer_94d0_EN.txt	=MAX(N133,O133)	0	2	0	0	0	=MAX(P133,Q133)	0	0	0	0
__id__133-TelsGoog_Answer_a67e_EN.txt	=MAX(N134,O134)	0	2	0	0	0	=MAX(P134,Q134)	0	0.5	0	0
__id__134-UnitGass_Resolution_62250_EN.txt	=MAX(N135,O135)	0	0	1	2	0	=MAX(P135,Q135)	0	1	0	0
__id__135-UnitUnat_Charter_EN.txt	=MAX(N136,O136)	0	0	0	2	0	=MAX(P136,Q136)	0	0	0	0
__id__136-UnitUnat_HumanRights_EN.txt	=MAX(N137,O137)	0	0	0	2	0	=MAX(P137,Q137)	0	0	0	0
__id__137-UnitUnat_StatuteICOJ_EN.txt	=MAX(N138,O138)	0	0	0	2	0	=MAX(P138,Q138)	0	0	0	0
__id__138-WindParaschivoiuEt_DarrieusTurbine_EN.txt	=MAX(N139,O139)	0	0.5	0	0	0	=MAX(P139,Q139)	2	0	0	0
__id__139-WindPurohitEt_CDMIndia_EN.txt	=MAX(N140,O140)	0	0	0	0	0	=MAX(P140,Q140)	2	0	0	0
__id__140-WindRiadhEt_Contrarotating_EN.txt	=MAX(N141,O141)	0	1	0	0	0	=MAX(P141,Q141)	2	0	0	0
__id__141-ted	=MAX(N142,O142)	0	0.5	0	0.5	2	=MAX(P142,Q142)	0	0	0	0
__id__142-ted	=MAX(N143,O143)	0	0	0	0	1	=MAX(P143,Q143)	0.5	0	0	0
__id__143-ted	=MAX(N144,O144)	0	0	0.5	0	0	=MAX(P144,Q144)	0	0	0	0
__id__144-ted	=MAX(N145,O145)	0	0	0	0	2	=MAX(P145,Q145)	0.5	0	0	0
__id__145-ted	=MAX(N146,O146)	0	0	0	0	0.5	=MAX(P146,Q146)	1	1	0	0
__id__146-ted	=MAX(N147,O147)	0	0	0	0	2	=MAX(P147,Q147)	0	1	0	0
__id__147-ted	=MAX(N148,O148)	0	0	0	0	2	=MAX(P148,Q148)	1	0	0	0
__id__148-ted	=MAX(N149,O149)	0	0	0	0	0.5	=MAX(P149,Q149)	1	1	0	0
__id__149-ted	=MAX(N150,O150)	0	0	1	0	1	=MAX(P150,Q150)	2	0	0	0
__id__150-ted	=MAX(N151,O151)	0	0.5	0	0	1	=MAX(P151,Q151)	0	0	0	0
__id__151-ted	=MAX(N152,O152)	0	0	0	0	1	=MAX(P152,Q152)	2	1	0	0
__id__152-ted	=MAX(N153,O153)	0	0	0	0	2	=MAX(P153,Q153)	0	0	0	0
__id__153-ted	=MAX(N154,O154)	0	0	0.5	0	1	=MAX(P154,Q154)	2	1	0	0
__id__154-ted	=MAX(N155,O155)	0	0	0	0	2	=MAX(P155,Q155)	0	0	0	0
__id__155-ted	=MAX(N156,O156)	0.5	0	0	0	2	=MAX(P156,Q156)	1	1	0	0
__id__156-ted	=MAX(N157,O157)	0	0.5	0	0	2	=MAX(P157,Q157)	1	1	0	0
__id__157-ted	=MAX(N158,O158)	0	0	0	0	2	=MAX(P158,Q158)	0	1	0	0
__id__158-ted	=MAX(N159,O159)	0	0	0.5	0	2	=MAX(P159,Q159)	0	0	0	0
__id__159-ted	=MAX(N160,O160)	0	0.5	0	0	2	=MAX(P160,Q160)	0	0	0	0
__id__160-ted	=MAX(N161,O161)	0	0	0	0	1	=MAX(P161,Q161)	2	0	0	0
__id__161-ted	=MAX(N162,O162)	0	0	1	0	2	=MAX(P162,Q162)	0	0	0	0
__id__162-ted	=MAX(N163,O163)	0	0	0	0	2	=MAX(P163,Q163)	0	0	0	0
__id__163-ted	=MAX(N164,O164)	0	0.5	0	0	1	=MAX(P164,Q164)	0	0	0	0
__id__164-ted	=MAX(N165,O165)	0	0	0	0	2	=MAX(P165,Q165)	1	0	0	0
__id__165-ted	=MAX(N166,O166)	0	0	0.5	0	1	=MAX(P166,Q166)	2	0	0	0
__id__166-ted	=MAX(N167,O167)	0	0	0	0	1	=MAX(P167,Q167)	0	0	0	0
__id__167-ted	=MAX(N168,O168)	0.5	0	0	0	1	=MAX(P168,Q168)	1	0	0	0
__id__168-ted	=MAX(N169,O169)	0	0	0.5	0	1	=MAX(P169,Q169)	0.5	0	0	0
__id__169-ted	=MAX(N170,O170)	0	0	0	0	1	=MAX(P170,Q170)	2	0	0	0
__id__170-ted	=MAX(N171,O171)	0	0	0.5	0	1	=MAX(P171,Q171)	2	0	0	0
__id__171-ted	=MAX(N172,O172)	1	0.5	0	0	1	=MAX(P172,Q172)	0	0	0	0
__id__172-ted	=MAX(N173,O173)	0	0	0	0	1	=MAX(P173,Q173)	0	0	0	0
__id__173-ted	=MAX(N174,O174)	0	0	1	0	1	=MAX(P174,Q174)	2	0	0	0
__id__174-ted	=MAX(N175,O175)	0	0	0.5	0	1	=MAX(P175,Q175)	0.5	0	0	0
__id__175-ted	=MAX(N176,O176)	0	0	0.5	0	1	=MAX(P176,Q176)	2	0	0	0
